epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.679,1.68577,1.74842,1.40186,0.72508,0.55276,0.63496,0.36334,1.62503,1.30364,1.40881,0.00332774,0.00332774,0.00332774
2,204.166,1.63914,1.39297,1.36693,0.67311,0.55922,0.60547,0.33077,1.67663,1.30424,1.45873,0.00665448,0.00665448,0.00665448
3,304.613,1.68039,1.35335,1.39455,0.68045,0.52023,0.59261,0.3203,1.7471,1.3137,1.48989,0.00997462,0.00997462,0.00997462
4,405.434,1.70099,1.33168,1.41245,0.71609,0.5276,0.6121,0.3405,1.71679,1.27012,1.47834,0.0099703,0.0099703,0.0099703
5,504.422,1.67378,1.28365,1.40431,0.72944,0.55779,0.6432,0.36322,1.66527,1.21064,1.44952,0.0099604,0.0099604,0.0099604
6,604.243,1.65761,1.25951,1.3883,0.73634,0.55582,0.64674,0.36861,1.64709,1.18977,1.43517,0.0099505,0.0099505,0.0099505
7,703.422,1.63098,1.21812,1.37596,0.73563,0.55808,0.64932,0.37132,1.65006,1.16475,1.43627,0.0099406,0.0099406,0.0099406
8,802.353,1.62302,1.20632,1.36364,0.74717,0.56877,0.66361,0.38378,1.63477,1.13632,1.4324,0.0099307,0.0099307,0.0099307
9,902.577,1.60419,1.18518,1.35971,0.74542,0.56564,0.65872,0.38048,1.63119,1.15433,1.42383,0.0099208,0.0099208,0.0099208
10,1001.87,1.58805,1.16616,1.35868,0.74474,0.57631,0.66847,0.3858,1.60871,1.13117,1.41704,0.0099109,0.0099109,0.0099109
11,1100.82,1.58708,1.16259,1.34657,0.74947,0.5844,0.67885,0.39591,1.60156,1.10152,1.4186,0.009901,0.009901,0.009901
12,1199.45,1.57327,1.14778,1.34111,0.76251,0.59786,0.69043,0.40371,1.57394,1.11152,1.40066,0.0098911,0.0098911,0.0098911
13,1299.53,1.57643,1.13546,1.34003,0.75756,0.60344,0.69115,0.40859,1.57138,1.08074,1.39912,0.0098812,0.0098812,0.0098812
14,1398.34,1.5547,1.12146,1.32886,0.76103,0.60265,0.69317,0.41295,1.55908,1.0593,1.38694,0.0098713,0.0098713,0.0098713
15,1496.92,1.54656,1.11363,1.32679,0.77084,0.60358,0.70047,0.41549,1.56848,1.04286,1.39142,0.0098614,0.0098614,0.0098614
16,1596.18,1.55261,1.1092,1.32143,0.76951,0.61371,0.70567,0.41823,1.55802,1.04246,1.39989,0.0098515,0.0098515,0.0098515
17,1695.87,1.54791,1.10632,1.32012,0.75688,0.61343,0.70123,0.41649,1.54907,1.0626,1.38336,0.0098416,0.0098416,0.0098416
18,1795.16,1.53859,1.09976,1.31821,0.77706,0.61116,0.70567,0.42181,1.54482,1.03303,1.37977,0.0098317,0.0098317,0.0098317
19,1894.37,1.53736,1.09102,1.31174,0.77676,0.61255,0.70659,0.42346,1.54119,1.01671,1.38109,0.0098218,0.0098218,0.0098218
20,1993.24,1.52713,1.08089,1.31176,0.77959,0.61561,0.70799,0.42425,1.53763,1.01397,1.38579,0.0098119,0.0098119,0.0098119
21,2093.1,1.52379,1.07147,1.30656,0.77672,0.62304,0.71643,0.42935,1.53539,1.01697,1.38261,0.009802,0.009802,0.009802
22,2192.62,1.53111,1.07776,1.3057,0.77583,0.62282,0.71638,0.42969,1.52827,1.0121,1.37702,0.0097921,0.0097921,0.0097921
23,2290.63,1.51546,1.06702,1.30426,0.77649,0.6237,0.71283,0.4282,1.52591,1.01325,1.37933,0.0097822,0.0097822,0.0097822
24,2389.93,1.51952,1.06953,1.30192,0.77675,0.62526,0.71648,0.43176,1.52478,1.00278,1.36673,0.0097723,0.0097723,0.0097723
25,2490.12,1.50889,1.06463,1.30091,0.78427,0.62408,0.72149,0.43487,1.52046,0.99547,1.35757,0.0097624,0.0097624,0.0097624
26,2591.46,1.50563,1.05923,1.29487,0.77807,0.63236,0.72342,0.4385,1.5119,0.99225,1.363,0.0097525,0.0097525,0.0097525
27,2690.88,1.49545,1.03936,1.29229,0.78151,0.63614,0.72663,0.44043,1.50664,0.97899,1.3633,0.0097426,0.0097426,0.0097426
28,2789.98,1.50184,1.04572,1.29396,0.78121,0.63444,0.7261,0.43917,1.51308,0.97967,1.35851,0.0097327,0.0097327,0.0097327
29,2889.72,1.49903,1.04496,1.29113,0.79172,0.63084,0.72969,0.44111,1.50989,0.97251,1.34918,0.0097228,0.0097228,0.0097228
30,2989.65,1.49675,1.04084,1.28735,0.78981,0.63546,0.73125,0.44412,1.49662,0.97128,1.35304,0.0097129,0.0097129,0.0097129
31,3089.11,1.49696,1.03898,1.28457,0.79135,0.63383,0.73056,0.44464,1.49582,0.96271,1.34945,0.009703,0.009703,0.009703
32,3187.61,1.49331,1.03836,1.28599,0.79211,0.63342,0.72963,0.44583,1.49229,0.96781,1.35307,0.0096931,0.0096931,0.0096931
33,3286.6,1.48623,1.03386,1.28607,0.79332,0.63903,0.73574,0.44821,1.48823,0.95767,1.34873,0.0096832,0.0096832,0.0096832
